zip,lat,lng
00601,18.18027,-66.75266
00602,18.36075,-67.17541
00603,18.45744,-67.12225
00606,18.16585,-66.93716
00610,18.2911,-67.12243
00611,18.27698,-66.80688
00612,18.41283,-66.7051
00616,18.41878,-66.6679
00617,18.44598,-66.56006
00622,17.98892,-67.1566
00623,18.08429,-67.15336
00624,18.05905,-66.71932
00627,18.41905,-66.86037
00631,18.1852,-66.83169
00637,18.081,-66.94659
00638,18.28462,-66.5137
00641,18.26742,-66.70212
00646,18.43251,-66.28429
00647,17.96667,-66.94266
00650,18.34487,-66.58347
00652,18.45614,-66.60194
00653,17.99413,-66.90266
00656,18.04186,-66.79123
00659,18.41036,-66.79691
00660,18.13412,-67.11399
00662,18.46622,-67.01508
00664,18.21064,-66.59066
00667,18.01246,-67.0417
00669,18.27019,-66.86727
00670,18.23782,-66.98852
00674,18.42229,-66.4891
00676,18.37897,-67.08098
00677,18.33535,-67.23155
00678,18.42949,-66.93016
00680,18.16307,-67.36122
00682,18.22415,-67.15309
00683,18.10926,-67.03803
00685,18.33656,-66.97518
00687,18.31707,-66.42029
00688,18.3807,-66.62496
00690,18.49363,-67.09734
00692,18.40905,-66.33768
00693,18.42633,-66.39811
00694,18.48327,-66.39269
00698,18.07274,-66.85519
00703,18.24739,-66.13143
00704,17.97442,-66.22888
00705,18.1294,-66.26653
00707,18.01752,-65.92127
00714,17.9981,-66.05635
00715,17.99738,-66.56104
00716,17.99942,-66.59868
00717,18.00272,-66.61146
00718,18.23145,-65.76067
00719,18.28879,-66.25316
00720,18.21559,-66.42421
00723,18.03139,-66.01122
00725,18.22052,-66.03962
00727,18.21142,-66.07374
00728,18.00697,-66.65995
00729,18.33524,-65.88677
00730,18.03256,-66.61384
00731,18.09914,-66.63279
00735,18.2525,-65.67534
00736,18.10736,-66.14994
00738,18.31793,-65.66793
00739,18.17543,-66.16198
00740,18.33251,-65.63419
00741,18.16569,-65.75506
00745,18.3466,-65.81382
00751,18.01205,-66.25871
00754,18.1447,-65.97565
00757,17.9933,-66.39056
00765,18.12365,-65.43013
00766,18.13039,-66.4757
00767,18.07033,-65.89618
00769,18.09459,-66.3607
00771,18.18797,-65.86916
00772,18.43048,-65.90377
00773,18.34073,-65.72756
00775,18.31387,-65.28618
00777,18.22365,-65.90904
00778,18.26319,-65.97938
00780,18.09998,-66.57032
00782,18.22501,-66.22452
00783,18.30348,-66.32851
00784,18.00558,-66.13651
00786,18.1357,-66.22881
00791,18.14391,-65.81398
00794,18.19934,-66.31179
00795,18.05128,-66.49485
00802,18.34349,-64.9287
00820,17.7388,-64.70695
00830,18.33857,-64.73802
00840,17.72649,-64.84717
00850,17.72763,-64.79122
00851,17.74757,-64.78737
00901,18.46478,-66.10277
00906,18.46446,-66.09499
00907,18.45287,-66.08381
00909,18.44131,-66.06866
00911,18.45133,-66.05636
00912,18.44503,-66.05995
00913,18.45024,-66.04275
00915,18.43673,-66.04576
00917,18.4208,-66.04989
00918,18.42139,-66.06774
00920,18.41904,-66.09023
00921,18.39206,-66.0871
00923,18.41146,-66.03715
00924,18.39987,-66.01344
00925,18.40028,-66.05058
00926,18.34691,-66.05434
00927,18.38884,-66.07149
00934,18.41372,-66.11998
00949,18.43166,-66.21349
00950,18.46201,-66.23917
00951,18.43175,-66.25628
00952,18.42874,-66.18897
00953,18.36319,-66.24764
00956,18.32121,-66.17185
00957,18.36696,-66.18857
00959,18.3852,-66.15583
00960,18.41674,-66.14365
00961,18.40987,-66.16415
00962,18.43514,-66.13949
00965,18.42853,-66.11175
00966,18.39784,-66.11394
00968,18.40609,-66.10123
00969,18.36696,-66.11
00971,18.32067,-66.11751
00976,18.33903,-65.99286
00979,18.43734,-66.0089
00982,18.40961,-65.99143
00983,18.41788,-65.98104
00985,18.40628,-65.94767
00987,18.34115,-65.94257
01001,42.06262,-72.62521
01002,42.37633,-72.46462
01003,42.39135,-72.52327
01005,42.42117,-72.10655
01007,42.28163,-72.40009
01008,42.18234,-72.95819
01009,42.21133,-72.34189
01010,42.12904,-72.20597
01011,42.30233,-72.96448
01012,42.38495,-72.84675
01013,42.16059,-72.60788
01020,42.17618,-72.56538
01022,42.19721,-72.54249
